1  1  -0.83821 
1  10  -0.42364 
1  0  -0.57467 
1  20  -0.62542 
1  5  -0.60647 
1  19  -0.75144 
1  21  -0.72080 
1  4  -0.73884 
1  24  -0.73026 
1  2  -0.68434 
1  7  -0.78417 
1  14  -0.81012 
1  15  -0.80532 
1  9  -0.77625 
1  11  -0.71262 
1  12  -0.71262 
1  13  -0.71262 
1  17  -0.71820 
1  16  -0.79583 
1  18  -0.84960 
1  23  -0.87207 
1  22  -0.87001 
10  1  -0.42026 
10  10  -0.17700 
10  0  -0.22247 
10  20  -0.25184 
10  5  -0.26097 
10  19  -0.35478 
10  21  -0.29429 
10  4  -0.30712 
10  24  -0.29739 
10  2  -0.29802 
10  7  -0.35169 
10  14  -0.33385 
10  15  -0.33646 
10  9  -0.34173 
10  11  -0.36075 
10  12  -0.36075 
10  13  -0.36075 
10  17  -0.36097 
10  16  -0.38944 
10  18  -0.35932 
10  23  -0.37884 
10  22  -0.40341 
0  1  -0.53696 
0  10  -0.21855 
0  0  -0.33083 
0  20  -0.36506 
0  5  -0.34750 
0  19  -0.42847 
0  21  -0.39548 
0  4  -0.41883 
0  24  -0.41816 
0  2  -0.40288 
0  7  -0.47618 
0  14  -0.47308 
0  15  -0.46420 
0  9  -0.49779 
0  11  -0.45088 
0  12  -0.45088 
0  13  -0.45088 
0  17  -0.46073 
0  16  -0.51283 
0  18  -0.49306 
0  23  -0.48591 
0  22  -0.52574 
20  1  -0.59802 
20  10  -0.25595 
20  0  -0.35045 
20  20  -0.37633 
20  5  -0.34343 
20  19  -0.49179 
20  21  -0.46922 
20  4  -0.47456 
20  24  -0.44669 
20  2  -0.40989 
20  7  -0.52903 
20  14  -0.50673 
20  15  -0.51865 
20  9  -0.51576 
20  11  -0.46136 
20  12  -0.46136 
20  13  -0.46136 
20  17  -0.51394 
20  16  -0.54506 
20  18  -0.54036 
20  23  -0.54771 
20  22  -0.54973 
5  1  -0.58438 
5  10  -0.27224 
5  0  -0.38428 
5  20  -0.40007 
5  5  -0.38366 
