ALA 0.5 
ARG 0.66 
ASN 0.57 
ASP 0.56 
CYS 0.55 
GLU 0.59 
GLN 0.6 
GLY 0.54 
HIS 0.61 
HID 0.61 
ILE 0.62 
LEU 0.62 
LYS 0.64 
MET 0.62 
PHE 0.64 
PRO 0.56 
SER 0.52 
THR 0.56 
TRP 0.68 
TYR 0.65 
VAL 0.59 
H   0.12 
C   0.17 
N   0.155 
O   0.152 
F   0.147 
P   0.18 
S   0.18 

